MGH264_A01	MGH264_A02	MGH264_A03	MGH264_A04	MGH264_A05	MGH264_A06	MGH264_A07	MGH264_A08	MGH264_A10	MGH264_A11	MGH264_B01	MGH264_B02	MGH264_B03	MGH264_B04	MGH264_B05	MGH264_B06	MGH264_B10	MGH264_B11	MGH264_C01	MGH264_C03	MGH264_C04	MGH264_C05	MGH264_C08	MGH264_C12	MGH264_D01	MGH264_D02	MGH264_D03	MGH264_D04	MGH264_D05	MGH264_D08	MGH264_D09	MGH264_D10	MGH264_D12	MGH264_E01	MGH264_E03	MGH264_E05	MGH264_E06	MGH264_E08	MGH264_E10	MGH264_E12	MGH264_F01	MGH264_F02	MGH264_F03	MGH264_F04	MGH264_F07	MGH264_F09	MGH264_F10	MGH264_F12	MGH264_G01	MGH264_G02	MGH264_G03	MGH264_G04	MGH264_G06	MGH264_G08	MGH264_G09	MGH264_G10	MGH264_G11	MGH264_G12	MGH264_H01	MGH264_H02	MGH264_H03	MGH264_H04	MGH264_H08	MGH264_H10	MGH264_H12	MGH26_A02	MGH26_A03	MGH26_A05	MGH26_A07	MGH26_A08	MGH26_A09	MGH26_A12	MGH26_B01	MGH26_B02	MGH26_B05	MGH26_B06	MGH26_B10	MGH26_B12	MGH26_C01	MGH26_C03	MGH26_C05	MGH26_C12	MGH26_D01	MGH26_D03	MGH26_D06	MGH26_D07	MGH26_D08	MGH26_D10	MGH26_E02	MGH26_E04	MGH26_E05	MGH26_E06	MGH26_E07	MGH26_E08	MGH26_E10	MGH26_E12	MGH26_F02	MGH26_F05	MGH26_F08	MGH26_F09
CYR61	1.148348457	0	0	0	0	0	0	7.494066028	0	0	0	0	0	0.846123225	0	0	0	0	0	0	0	1.513829027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.161201614	0	0	0	3.456373458	0	0	0	0	0	0	0	0	5.570463853	0	0	0	0	0	0	0	0	0	0	0	0	5.250340258	0	0	0	0	0	0	0	0.670650541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.24886549	0
CYSTM1	0	7.952579066	0	1.536796474	0	0	0	0	0	0	0	1.891628156	5.030689682	0	0	0	6.408755102	0	0	6.574407288	0	0	5.658115788	8.1798738	0	0	2.91729479	0	0	0	6.290356238	0	6.757494941	3.33064464	0	0	0	0	0	6.357757225	0	2.096925624	0	0	0	0	0	0	0	0	0	0	6.816378441	1.075873946	0	6.92696701	0	0	0	7.646202511	6.7694981	0	6.450910049	0	0	7.969500347	0	0	0	1.72372019	0	7.279759218	0	0	0	0	8.411216107	0	0	6.250623976	8.733734409	2.538913253	0	8.094587852	0	0	6.699676283	0	1.791162223	3.199913578	3.217232372	0	0	1.135435981	0	0	0.559304623	0	0	0
CYTH2	0	3.959597626	0	0	0	0	0	0	0	0	6.682919122	0.74642831	0	4.149823485	3.80234133	0	0	0	0	2.350499667	0	6.881507756	0	0	2.008616472	1.982635891	2.91729479	6.732981847	0	0	0	0	3.793213826	0	8.507880036	0	6.778818164	2.670348356	0	7.395196252	0	0	0	0	6.16240646	7.326475472	7.141832245	5.158607592	7.073648608	0	0	0	6.611895588	6.631352042	3.507278117	0	0	5.908818323	5.750593633	0.966216844	1.470989582	3.281542646	0	5.303122867	2.334020923	3.117924008	2.339798015	6.067520733	5.998925614	3.352120078	0	0.608941194	4.684506664	0	0	1.78056519	3.905353248	0	4.995725872	1.586784663	0	6.803029986	0	0	7.615511057	4.968742605	6.834488145	0	0	3.731569345	0	0	0	7.944589846	0	0	4.662084927	2.918393825	4.482262651	0
DAAM1	5.081007223	5.644950578	0	7.087528074	8.254081696	8.841843314	7.729563731	4.088040951	2.64638629	0	0	0	9.076003677	0	0	8.310540971	0	0	0	4.426267626	0	7.284924982	0	8.271824093	7.462623018	0	0	6.7252618	0	7.186600233	0	0	0	0	3.507419705	0	0	0	0	0	0	3.437481228	0	6.400281052	7.430617148	0	0	4.593700284	0	0	0	4.101629626	6.611895588	7.600718273	0	5.060824982	4.871151372	0	8.905880006	0	7.980945005	5.737246178	3.739257797	0	0	0	0	0	0	0	0	0	0	4.375220474	6.522777391	0	0	7.239010985	0	0	0	0	8.486267991	0	0	0	0	0	0	0	0	0	9.525630825	0	0	0	0	0	0	0
DAD1	8.777998269	8.267972818	9.623262824	9.079550379	7.557333446	1.813769838	6.211831785	7.913501023	9.316456734	7.792733438	7.103515931	6.926223816	7.991545013	7.879663831	0	6.075160554	8.03658919	0	6.558880217	7.770171318	6.513779814	6.197140227	7.316410804	0	7.098856014	0	8.003473098	0	7.022889694	0	8.379765189	6.961774384	6.574887521	0	6.846649839	8.816548967	7.919489437	7.560745579	7.906957805	7.395196252	8.876226067	7.00944509	8.088667415	8.722800854	6.670924305	8.984442731	7.493246681	8.237904887	6.83458649	4.74655255	8.443677899	1.595011657	7.154717915	8.43488855	8.445257815	8.070680436	7.337734368	0	0	6.532258136	8.097539388	7.304064884	7.634248772	7.621380274	8.149473126	9.677837172	0	8.645472236	7.211249599	9.160153196	8.836904149	7.934662281	9.341003365	6.710133773	5.538382685	9.067695623	9.552769406	7.97215141	7.269505164	9.364672007	8.486442175	8.574061191	7.98544294	8.815987291	7.615511058	0	9.823384468	8.727492027	7.3083381	7.252638687	7.965786134	7.777731543	8.992171575	8.263942614	0	7.066637474	7.513681695	8.40911675	7.424648385	8.53946323
DAG1	7.008213856	0	0	4.684787092	7.557333446	0	0	7.519460715	5.595406207	2.379786027	1.135902001	0	7.656001005	0	6.298449254	0	0	0	0	0	0	3.361536439	2.104261737	0	6.611272216	5.127206842	5.333627554	0	0.663502416	0	0	6.713424263	0	0	0	0	5.103656163	0	0	4.852461434	8.891460506	3.437481228	0	6.289190555	6.16240646	5.646119365	0	0	0	0	4.421033928	1.595011657	0	5.284977683	0	6.276678741	0	0	2.851282122	0.966216845	0	0	0	0	5.742737266	0	0	3.606499931	0	0	5.236148771	0	7.442952279	0	2.740792433	5.141092565	1.18350236	3.636149766	1.795944353	0	0	7.362744844	0	0	0	0	0	8.559831223	0	0	0	0	0	6.232750225	5.608432151	5.616068607	2.887416705	1.969223532	2.754529677	0
DAGLB	1.148348457	0	0	8.957944224	7.771730196	0	0	2.070857339	0	0	0	5.40380269	3.531402706	0	0	0	8.601842997	0	0	0	0	0	2.104261736	0	8.14071942	0	2.0966469	0	8.412964908	8.764945191	0	0	3.793213826	0	0	0	0	0	2.299032777	0	0	0	0	0	0	1.15507722	3.1358914	3.652245475	2.146755255	0	0	0	0	2.058562561	0	0	0	5.908818324	0	0	2.659093231	0	0	2.16940005	3.183355242	0	0.361052145	0	6.220952705	2.486904837	0	0	0	1.794551243	5.989323257	9.129911068	9.090392134	1.280466942	0	1.001366837	0	0	0	0	0	0	0	0	5.147839984	0	3.095158872	0	4.211413141	0	9.636635507	0	0	8.377845851	0.864880994	0
DANCR	7.836076886	7.907251057	0	8.271660045	0	7.623637122	0	0	2.64638629	0	0	0	0	0	0	0	6.170831043	0	0	8.063398081	0	5.916032887	0	1.89776248	6.0112986	0	0	2.424080483	6.360457858	0	7.102789684	2.19665312	7.661972538	0	6.846649839	0	0	8.248730865	6.311531156	0	0	7.00944509	0	0	0	0	0	0	7.761440489	7.261928684	6.866978818	2.33397871	7.94688271	2.058562562	7.284808415	0	0	0	8.100779113	0	0	0	0	0	8.786555359	0	0	0	0	0	0	6.114119886	0	0	0	0	7.124834407	8.301124343	8.025720023	7.036134545	8.032256006	6.978416223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.982184593	7.49431763	0.864880994	0
DAP3	0	8.235331685	0	0	7.659566345	7.42677312	0	0	4.462306388	0	7.740564276	4.847145493	0	0	0	0	8.833950601	0	0	0	0	7.627176128	2.104261736	8.825193487	6.315113267	0	4.7664431	8.63801957	1.460359735	7.330046635	0	7.243499138	0	0	0	0	6.134229734	7.161831898	7.120790884	7.239080924	4.697204926	0	2.297672216	0	3.471108498	7.326475473	7.429480263	7.93091995	0	0	0	0	8.600790364	6.763333954	2.996224273	8.818097505	6.765056605	9.419207273	0	0	0	7.04285516	0	9.175499343	0	9.010254799	9.069385103	7.791557016	0	1.723720191	0	0	2.571164048	0	2.740792433	6.648408358	9.178490821	8.320602996	2.235310564	0	0	7.23032632	8.921317237	9.672299308	0	4.968742606	8.410998463	8.336697554	8.098894732	7.173008835	0	1.488181101	0	1.135435981	8.751829279	0	8.149012314	0.789848842	7.825449168	3.411209645
DARS	0	4.984074991	0	9.448836314	8.400849132	0	0	3.787166095	8.073121272	7.910864194	8.213333239	8.884578114	8.958394672	1.375916646	0	8.256267951	0	6.931253428	2.389567109	0	2.567965407	7.829035663	7.794968394	1.89776248	7.83160561	7.111393863	0	2.424080483	8.733056656	0	7.643313469	8.839136586	7.807138294	4.816692068	0	0	7.653222478	8.261400311	8.115598652	7.692436357	5.520270843	8.33199556	0	0	8.040696407	8.035310473	7.612900194	0	0	6.905501598	7.773710703	5.687179401	0	6.20577058	8.108399824	0	7.609758134	0	9.458313898	8.175028654	8.444333583	6.145506466	8.839574749	8.237732002	0	9.052608968	0	0	8.282293924	7.809789932	0	9.54843398	9.008597507	0	7.04155621	0	7.959414388	1.280466943	8.675782241	0	0	0	0	8.855977026	9.548662751	0	0	9.031698159	7.436840719	4.119196189	0	9.078950913	0	8.04607012	8.352361883	8.429259916	0	0	7.950449926	0
DARS2	0	0	0	0	5.409234588	0	0	0	0	0	0	0	0	0	5.029411212	0	0	0	0	0	0	3.486222966	0	0	7.994425621	0	0	0	3.791429768	0	3.204771775	0	0	0	0	0	0	0	0	0	0	5.44670556	0	0	0	3.590082412	0	0	4.181224641	3.799318477	0	0	0	2.058562562	6.281141709	0	0	0	0	0	8.134400244	0	0	5.169268782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.703067104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.789848842	0	0
DAZAP2	10.230962157	8.570910062	9.966359447	8.538350122	0	8.346567166	8.418849615	2.888056515	8.207572467	7.437863683	8.779084529	8.576788565	7.799709514	0	8.173974915	8.218917407	8.844124104	0	7.181500516	0	0	7.768934153	6.065993019	8.698374501	7.511259958	0	5.550900033	5.738833202	7.436772779	6.940528446	0	0	9.397004823	0	0	8.340031401	7.269763391	7.266094261	8.834834644	8.155854746	8.078797136	8.225424704	10.589855225	5.89300954	0	6.751486905	9.051838906	3.652245475	8.909782058	6.341947155	8.603706339	7.482568581	9.498538528	7.916440777	8.343540136	8.382019654	1.468125588	8.96278585	9.703902684	9.882979034	9.023008804	3.281542646	7.881029249	8.27079024	0	8.933004497	10.285554221	7.778259204	4.533957151	7.568604787	9.276154523	7.374116144	9.329965288	7.786254728	6.430713607	8.268690584	8.37300208	8.606352782	8.852085099	10.156282016	0	9.837922816	0	8.920257783	0	0	9.408877657	7.156629688	9.697550395	0	0	8.433885719	0	5.538546783	9.972308055	0	0	9.84341339	9.433836432	10.386216422
DBF4	0	5.600076654	8.866727049	0	0	2.592443801	0	0	4.462306389	0	0	1.600699389	0	0	4.497339027	0	0	11.838640786	0	0	0	7.267655034	5.658115788	0	6.779556675	0	0	4.513133278	0.663502416	0	0	2.19665312	0	0	0	0	4.28884159	5.970555312	8.428689181	0	0	0	0	6.435488306	0	0	0	0	2.146755256	0	0	0	0	6.763333954	0	7.239513706	7.321891916	3.238791784	0	0	0	0	0	0	6.980764372	0	2.339798016	0	5.354007099	0	0	0	0	0	0	0	0	0	0	0	0	0	3.525807366	7.593357512	0	0	5.274589087	0	0	0	0	6.483206026	4.211413141	8.171146063	0	5.503040563	0	0	5.603744638	1.140648012
DBI	10.385909209	11.597859363	11.712060265	4.453941943	11.187529433	10.7579991	10.327214698	0	12.030484891	10.313892174	11.37438262	11.413164061	6.4178755	10.649882355	10.531714189	10.229436725	12.160173585	6.520150937	10.688565411	9.377647365	10.53290231	10.634314736	9.25611122	11.161845157	10.408073532	11.603202002	9.421901877	8.239903561	11.643471819	10.093286607	9.107850392	8.475046341	10.107175735	4.257101369	11.011951771	9.408086736	11.121418011	8.703390517	9.321044171	11.049342044	5.520270843	8.331995559	11.418259445	10.62623319	9.921218705	10.860016991	10.620783182	10.452571574	11.049640126	7.400785517	11.263545002	11.130734813	10.307159915	9.921405676	10.702355344	7.652162496	10.573484579	10.966712819	8.270120074	7.447706016	6.017839777	8.960770052	9.535804288	10.865445182	10.608481664	11.659487562	12.033874372	11.547033573	11.061933787	2.486904837	10.717721315	8.57241923	10.195328299	9.544309187	10.882805138	11.878192017	9.873335883	9.334403617	11.586587874	6.47843514	9.964984919	11.238630678	11.08892594	11.66160119	10.906567951	11.492275735	11.191641984	11.573988802	11.507936908	11.639625451	11.273744483	11.58661095	10.417811935	10.492664228	11.728725999	10.167935222	11.643604458	9.88848818	7.472128094	11.103130815
DBNDD2	8.352771662	0	9.388208903	0	0	0	6.94099079	0	0	0	0	0	0	0	7.503023175	0	8.088860368	0	0	8.721481619	0	7.150060852	0	1.89776248	0	6.508435365	8.301978873	5.167315626	0	0	8.509083846	0	0	0	0	0	0	0	7.580914537	6.866175479	0	0	7.64924577	0	0	0	0	8.756348455	0	0	0	7.91585178	3.078413016	8.237174064	7.321025478	0	0	0	0	0	7.90830955	8.451038169	7.721284393	7.425383998	7.927927269	0	0	0	1.471606713	0	7.61249331	0	0	0	0	0	8.525123217	5.99737683	3.98500504	13.167010518	3.079137448	7.134773468	7.572301753	8.651520727	9.102188675	0	8.410998463	0	1.791162223	0	9.06804724	0	9.455339363	7.804326024	8.352361883	8.277206247	7.58273216	0	9.469518092	6.415082978
DBNL	4.591882847	7.232780489	0	0	0	0	0	0	6.412367064	0	4.570075727	0	0	0	6.217064901	0	0	0	0	0	0	7.499845431	0	0	0	0	6.483538778	8.175990124	0	0	0	0	0	0	0	0	0	6.250234039	8.153935909	0	0	0	6.524531369	0	0	2.226782028	7.36276454	0	0	3.503066851	7.728119661	0	0	4.718399086	2.718804858	0	0	0	0	0	8.069262227	3.281542646	6.231263577	0	0	0	5.379315139	10.274942833	8.687924833	0	8.662465312	0	9.115312624	0	0	0	9.11043979	0	8.80501208	6.848198695	0	4.339568062	8.824227628	5.568236283	6.622848966	0	8.049638874	8.830477718	0	9.22592958	0	9.903634602	6.151789643	0	0	8.444645432	9.555153975	6.956323522	9.343717943	3.237808787
DBR1	0	0	0	0	0	1.813769837	8.348671047	0	0	7.736957051	0	0	0	0	8.626801077	7.805493039	0	0	0	0	1.402308489	0	2.104261736	0	7.977215788	0	0	2.424080483	1.460359734	0	0	0	0	4.816692067	3.507419705	0	7.81246585	0	3.069428655	0	2.582159434	4.120172671	0	4.58212625	9.336999991	0	8.358375272	0	0	0	0	0	3.078413016	0	8.137224137	6.276678741	0	0	0	7.73929108	0	0	0	0	2.334020923	0	0	0	0	0	0.670650541	1.035820223	2.571164048	0	0	1.125871719	0	0	1.161057924	0	0	0	0	0	0	4.968742605	0	0	6.177262875	0	0	0	4.211413141	0	2.417999677	0	0	0	0	0
DBT	0	0	4.165024501	2.745126558	5.816081691	2.592443801	4.665280892	6.092305064	0	6.299849363	0	1.235891665	0	0	0	3.669212411	0	0	0	0	8.394677075	0	2.104261737	2.192672703	3.71103732	0	2.0966469	7.136886408	1.460359735	0	1.402725681	4.372451052	0	5.790866068	3.507419705	1.135171812	7.810242272	6.395240148	3.690776166	1.87031349	4.950940626	7.654496483	6.396237653	2.868213512	9.144673562	0	0	7.540448826	9.311150687	5.216542008	4.819135957	0	0	4.07283916	1.922820517	2.783856083	5.253020954	8.329667306	8.460363312	9.278820916	5.256048809	3.281542647	7.545444871	7.241836724	2.334020924	0	5.231158121	0	0.915829032	8.241630338	0	0.608941194	0	0	0	0	8.574068229	1.280466943	5.050569199	0	3.606043617	3.409122265	0	0	0	6.546248478	0	0	8.690677098	0	0	0	7.461491539	6.578562004	4.758397566	3.068966305	0	0	3.203497863	1.769602781
DCAF5	7.843737693	9.197601677	7.674316173	0	0	0	0	9.003428053	4.068921095	6.410950053	0	0	0	0	8.277963022	0	0	4.966287991	0	3.201636545	1.402308489	9.16591666	6.201537559	0	0	0	4.119829828	0	0.663502416	9.147219045	8.253333118	2.672701318	6.508493782	0	6.559926112	4.707380721	0	4.489498953	5.517735405	4.979356914	5.354269821	0	6.217947379	0	0	4.36676974	8.964545949	0	7.715115882	8.713146842	0	1.595011657	0	9.156911989	5.679464621	1.979459533	4.352818043	0	0	0	0	0	5.972064741	0	0	0	0	0	6.203701126	0	5.426839402	1.035820223	7.401375944	0	0	0	7.875992508	4.291256271	0	3.17235404	0	0	0	0	5.066870478	0	0	0	0	0	0	0	0	0	0	9.183014782	0	0	0	7.37554034
DCAF10	6.449208098	0	3.243285349	0	4.48390703	4.841549034	4.108470494	2.070857339	3.526311855	0	0	0.74642831	3.531402706	6.487809061	0	7.949268635	0	0	0	0	1.402308489	1.513829026	2.104261736	1.897762479	2.008616472	0	7.762616214	7.913953042	0	8.968706736	1.402725681	0	2.402671639	8.855150882	3.507419705	7.606030892	0	1.880847864	5.260985264	0	4.539038268	2.096925624	0	0	4.966623301	7.281672903	0	4.593700283	0	0	6.589516978	0	0	8.030527302	0	7.792848797	0	0	6.116459472	0.966216844	0	5.737246178	6.809810714	7.237495361	3.183355242	0	0	1.011787529	0.915829031	0	0	8.235438844	0	0	2.753009201	0	1.183502359	0	0	3.461915815	0	0	0	1.944910642	6.11453586	7.927855954	5.274589086	0	1.165283369	2.622717892	0	0	0	1.135435981	3.276286758	2.231389185	2.274907454	0	0	0
DCAF11	9.227777664	0.820663307	0	0	0	0	0	0	8.921868542	0	0	0	7.316870295	0	7.965526358	7.754197226	0	0	8.474706794	0	3.440879358	0	0	0	7.511259958	7.723424318	0	0	8.74684902	0	0	1.481336766	0	0	9.259627013	0	0	0	0	1.219128293	9.37601909	8.934921001	0	7.808816415	0	7.923099244	0	0	0	0	5.604420439	0	6.611895588	0	0	0	0	0	0	0	8.14347016	0	0	0	0	2.275212361	0	0	0	0	0	0	0	0	0	0	8.616742476	0	8.571819145	0	2.240480743	7.732720127	0	6.007563952	0	0	7.323109439	0	5.685076347	0	0	0	0	0	0	0	0	0	0	0
DCAF12	1.148348457	0	0	0	4.562782853	0	3.189773554	4.897834052	0	7.366140532	0	0.746428311	0	0	8.567840622	7.064421789	0	0	7.81839081	0	0	0	8.770070916	1.89776248	8.011432576	0	5.550900033	6.233365835	1.460359735	0	0	0	8.149725654	0	0	0	5.973193625	0	3.082208563	7.187436695	0	2.096925624	8.119471128	0	0	0	9.487228721	0	0	9.776642329	9.017816411	0	0	8.159437151	8.512971566	0	4.078917089	7.256638767	0	0	0	4.764041074	0	0	0	0	0	3.190814484	9.184274478	1.723720191	0	9.159433974	8.499171332	0	6.112960434	9.099138695	0	9.913285178	0	7.580146917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.910103	1.188963353	9.364551987	9.479360788	9.279545983
DCAF13	0	8.257174289	0	0	1.174685211	5.816168095	3.189773553	0	9.268035573	6.048132179	7.924259953	0	5.434650947	8.054329606	0	0	8.717034546	0	0	10.053737513	0	6.958866132	9.582232687	0	8.708417211	8.950544983	0	8.522844101	7.661405275	0	0	0	9.200728518	0	3.507419705	8.725692962	0	0	8.444241015	9.371502064	8.69708348	6.125926371	0	0	9.381326509	0	8.489237498	9.342257749	8.366835703	8.523528047	5.960385757	0	8.482322056	8.143374179	1.260518352	0	7.648381281	0	7.927423311	8.920446111	6.791821101	0	7.881029249	3.522945689	8.042948705	0	8.955948424	10.324957268	8.961195808	0	0	9.444621141	6.902426945	9.715079417	5.704854401	8.955352967	8.031281399	0	0	5.090114932	9.334316408	0	9.041373394	0	8.349531005	4.968742605	8.241603176	0	10.014847731	0	0	0	0	0	0	9.017978411	8.738777678	0	8.457987742	0
DCAF16	1.779553913	1.340525649	0	0	3.762812482	5.87918472	8.027848933	0	0	1.633337146	6.944284928	0.746428311	0	0	8.459954987	2.294903689	0	5.943026401	0	0	2.190878735	6.522429407	0	6.885488604	5.711697092	0	4.930466394	4.206914576	0	0	3.822939285	9.157041886	4.181997719	3.330644641	0	5.745336206	5.584498848	6.395240148	8.903949195	6.295943187	0	6.770471465	0	1.626029742	5.68501407	1.15507722	0	7.627455742	6.790587327	2.62501145	0	5.945539523	3.078413016	5.8070558	0	5.182749447	7.002216329	0	0	0	0	3.281542646	0	2.16940005	3.183355242	3.117924008	8.767085276	4.4146875	0	0	6.615499498	0	2.571164048	1.794551243	0	0	2.878994971	5.789434084	0	0	0	0	0	7.237412807	0	4.968742606	6.255832444	0	1.157346419	8.751291011	0	5.06593033	0	5.927006834	8.40877562	2.231389186	0	0.789848842	3.326693196	0
DCAKD	0	1.340525649	0	2.745126558	0	0	0	0	0	3.525002503	0	0	0	8.146558399	7.150018429	0	0	0	3.244887387	0	1.402308489	0	8.281600935	0	0	0	0	7.305671981	4.673826385	0	0	2.19665312	0	0	0	7.26814653	0	1.880847864	0	6.633379568	0	0	0	3.51514724	7.984332013	0	0	0	7.871134436	0	0	0	0	8.127130348	5.755984768	0	0	0	2.038508889	0	8.494816832	0	0	0	2.334020923	0	0	0	0	0	0	5.915061006	5.656178109	0	0	0	0	7.702037594	0	0	9.954189017	0	5.743880137	0	8.486632383	6.522658993	0	0	1.157346419	0	0	8.563456686	0	0	0	0	3.786479928	0	0	7.322231426
DCBLD2	0	0	0	0	0	6.927762226	5.066033618	0	0	0	7.052367059	0	0	0	1.286318167	7.558774193	0	0	0	0	0	0	0	0	4.010762574	5.635475607	2.0966469	0	1.460359735	3.479303769	4.124333448	6.472676007	3.793213826	0	0	0	7.258157591	6.089007817	0	0	0	0	0	0	0	0	5.984620707	0	8.030950323	6.555203566	0	0	5.731398679	4.718399086	2.375026688	0	0	0	5.371792027	0	0	6.145506466	3.739257797	0	0	0	0	8.137137614	0	0	0	0.608941194	0	0	0	0	0	0	4.288594976	0	0	0	0	5.12016233	6.045187242	0	0	0	0	8.188394947	0	0	0	6.748455837	0	5.246354617	0	0	3.203497863	0
DCLRE1B	0	0	0	0	0	0	0	0	0	0	0	0	3.531402706	0	0	7.433938749	0	0	0	0	0	0	7.587867868	0	0	0	4.581350628	0	0	0	8.522045671	0	0	0	0	0	0	1.880847864	0	3.164844272	0	0	0	9.412018105	0	0	4.607064897	4.593700283	0	0	3.869357384	0	0	2.87409283	0	0	0	0	0	0	0	5.955769806	0	0	0	0	5.636561138	0	0	0	0	0	7.26893502	0	0	0	8.759000932	0	1.161057924	0	0	0	5.42866669	0	5.066870478	0	0	1.057637041	0	0	0	0	4.21141314	0	0	2.231389185	0	0	0	0
DCLRE1C	0	0	0	0	0	0	3.189773553	0	2.646386289	6.610370754	6.796694332	5.426711921	7.409414056	0	0	5.176518685	0	0	0	0	0	0	8.644840421	0	0	6.784364814	6.854244414	7.526761097	6.630800098	0	6.290356238	0	0	3.33064464	7.085728172	0	7.003972424	0	0	0	7.030084379	4.369313398	0	6.599685313	0	0	0	4.593700283	0	0	0	0	0	6.486069012	5.422049347	0	7.570072475	4.718092882	0	7.226690275	1.470989582	0	0	7.275453788	0	5.434547409	0	0	0.915829031	0	6.848192025	0	0	0	0	0	0	0	0	0	0	7.40431456	3.525807366	0	0	0	0	0	8.974467993	0	0	0	7.838112977	0	0	0	0	0	0	2.206143383
DCN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.460936211	0	2.104261736	0	0	0	0	0	0	0	0	0	0	0	0	10.465570618	0	0	0	9.548239758	0	5.906972837	6.217947379	0	0	0	0	8.4908905	0	0	0	10.106469272	0	0	0	0	7.816094091	0	0	0	2.659093231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.538913253	0	0	0	0	0	10.124181495	0	0	0	0	0	0	11.185830736	9.314442313	0	0	0	0
DCP1A	2.824360553	7.628758942	0	0	7.67740016	9.252132139	7.329963589	2.07085734	2.64638629	5.743015181	4.151033037	8.711152078	0	0	5.029411212	5.324527041	0	0	0	0	9.917709615	0	8.895326387	6.885488603	8.20126264	9.132292842	0	9.338282909	8.576363214	0	0	6.218684338	0	3.330644641	8.837217753	4.707380722	7.926838563	3.849456094	4.948432536	7.546342056	5.166654227	6.255373443	0.984887933	0	0	0	8.665651945	0	0	8.73955655	3.869357384	0	9.406551824	8.710371764	7.487256589	9.003267333	0	0	0	6.082356608	7.970789737	0	0	0	7.026211069	3.646400766	0	1.011787529	0.915829031	10.379442123	1.751533265	8.765834241	0	0	4.878817012	7.170549808	7.111633291	9.517153713	0	0	0	0	8.399056567	9.634478147	5.066870478	5.945520879	5.274589086	0	9.810589527	2.34894571	8.801489767	9.933240211	7.723161059	0	2.417999678	2.231389186	9.881110951	0	0	0
DCP1B	0	7.03625095	0	0	8.23011564	0	3.189773553	0	0	8.206143466	0	1.600699388	0	8.54191485	0	0	0	0	0	5.867899423	0	0	0	0	4.81842382	9.072240876	0	8.936900687	0	0	0	2.196653119	0	0	5.982588996	0	0	5.542553516	0	7.525695344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.160280031	0	0	8.536725231	0	6.64149223	0	0	3.117924007	7.033358711	1.011787528	7.193880896	0	0	0	0	0	0	1.125871719	0	0	0	8.013949056	0	0	4.461779009	0	0	0	0	0	8.669077888	0	0	0	0	0	0	0	1.252342821	0	0	0
DCP2	5.070076465	8.958579315	0	5.286507908	7.447299778	4.40086432	7.120181006	8.283237396	0	10.018802142	0	8.467799114	5.434650947	0.846123224	5.511293727	8.724441985	0	0	9.44368989	0	6.539493063	0	7.898353014	0	2.008616472	0	6.854244414	0	6.16298966	9.379363348	8.26879555	0	8.688705665	6.199374177	4.44255132	0	6.055957405	0	8.762241717	5.664555928	10.202431767	2.942430862	7.099118222	8.032475566	8.981480665	7.512467419	0	6.357733132	4.430943719	9.10040631	0	8.053909677	3.990382671	4.882222111	6.968411143	7.849182085	0	3.238791784	0	0	2.184038875	0	0	2.16940005	2.334020923	0	0	0	0	8.690744387	0	3.523911887	7.268935021	0	2.740792432	8.395674521	4.577909083	0	6.23213901	0	0	0	3.525807366	8.474452273	0	8.385670893	5.274589086	0	0	7.595759901	0	3.325782607	0	0	6.139729824	0	0	0	0	0
DCTD	0	7.736350155	0	0	7.122237664	0	0	0	0	0	8.351982007	0	0	0	0	0	0	0	3.44537391	0	6.637994415	0.946981397	0	0	0	0	2.096646899	6.99592744	5.023781167	5.621310158	8.189770885	7.966350719	0	0	6.391911238	8.593413513	6.72924112	0	0	4.638368228	0	0	8.535750946	0	4.404547993	0	0	0	0	0	8.386131515	0	0	2.058562561	0	0	0	0	7.502044187	0	0	6.599369315	5.250340257	4.208814885	4.101679216	0	0	0	8.135362068	0	0	8.718058766	2.571164048	0	5.350165432	8.895721124	7.124834406	9.558756822	4.288594975	0	0	5.989812041	6.86662413	0	7.034222176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DCTN1	1.148348457	0	0	7.715374891	8.437939095	2.592443801	7.729563731	0	0	5.023896963	5.252640222	9.844226435	0	7.908687656	7.178961602	0	0	0	9.52896231	0	8.131091084	8.392095623	7.957004806	9.792893014	5.534790651	0	8.834542641	4.513133278	0.663502416	0	5.574613273	0	0	4.257101369	3.507419705	5.712794649	0	4.305999752	4.298126627	8.962961147	0	7.527994539	0	0	6.16240646	0	5.00722637	0	0	6.775402709	0	0	0	0	6.815901289	0	6.29886671	0	0	0	0	5.955769807	5.972064741	2.999409416	0	9.172685836	0	0	0	0	6.534925968	0	0	1.794551243	0	0	7.974077047	0	0	9.58581159	0	0	0	0	0	6.933768328	0	0	0	5.390433196	5.27527981	0	0	0	7.825934075	0	0	0	0	0
