"cells"	"ct"	"umi"	"cdr"
"bBM258"	"bBM258"	"GR"	6524	0.0941322460556639
"bBM259"	"bBM259"	"ER"	4691	0.0673639425633753
"bBM260"	"bBM260"	"ER"	5576	0.0887431306505939
"bBM261"	"bBM261"	"MO"	5314	0.0860131182414466
"bBM262"	"bBM262"	"ER"	5500	0.0815103705016841
"bBM263"	"bBM263"	"GR"	6039	0.0784258110264138
"bBM264"	"bBM264"	"ER"	5985	0.0895231341960645
"bBM265"	"bBM265"	"ER"	6062	0.0956922531466052
"bBM266"	"bBM266"	"MO"	5693	0.0869703953199787
"bBM267"	"bBM267"	"ER"	5473	0.0827512852331147
"bBM268"	"bBM268"	"ER"	4956	0.0793121786917213
"bBM269"	"bBM269"	"ER"	5829	0.0866158482538557
"bBM270"	"bBM270"	"ER"	5656	0.0917922354192519
"bBM271"	"bBM271"	"ER"	6045	0.0903031377415352
"bBM272"	"bBM272"	"GR"	5072	0.086651302960468
"bBM273"	"bBM273"	"GR"	6345	0.0880340365183478
"bBM274"	"bBM274"	"MO"	4777	0.0801276369438043
"bBM275"	"bBM275"	"ER"	5908	0.0892394965431661
"bBM276"	"bBM276"	"MO"	4529	0.0709448679312179
"bBM277"	"bBM277"	"GR"	5340	0.0659457542988832
"bBM278"	"bBM278"	"ER"	3797	0.00716185073568516
"bBM279"	"bBM279"	"GR"	4708	0.0764048927495125
"bBM280"	"bBM280"	"ER"	5709	0.0836376528984223
"bBM281"	"bBM281"	"GR"	7421	0.0957986172664421
"bBM283"	"bBM283"	"GR"	5895	0.0866867576670803
"bBM284"	"bBM284"	"ER"	5282	0.0840276546711576
"bBM285"	"bBM285"	"GR"	5666	0.0766885304024109
"bBM286"	"bBM286"	"ER"	5904	0.0883531288778585
"bBM287"	"bBM287"	"GR"	5278	0.081262187555398
"bBM288"	"bBM288"	"ER"	4691	0.016273710335047
"bBM289"	"bBM289"	"ER"	4757	0.0798085445842936
"bBM290"	"bBM290"	"GR"	5048	0.0611593689062223
"bBM291"	"bBM291"	"GR"	5549	0.084772203510016
"bBM292"	"bBM292"	"ER"	4134	0.0294274064882113
"bBM294"	"bBM294"	"ER"	4509	0.0770785321751462
"bBM295"	"bBM295"	"GR"	4547	0.0559475270342138
"bBM296"	"bBM296"	"ER"	5011	0.0801630916504166
"bBM297"	"bBM297"	"GR"	5367	0.0801630916504166
"bBM298"	"bBM298"	"GR"	5005	0.07236305619571
"bBM299"	"bBM299"	"ER"	5549	0.0841340187909945
"bBM300"	"bBM300"	"ER"	4808	0.0810849140223365
"bBM301"	"bBM301"	"ER"	5046	0.079631271051232
"bBM302"	"bBM302"	"GR"	4849	0.0756603439106541
"bBM303"	"bBM303"	"MO"	5578	0.0826449211132778
